id1 id2 pos1 pos2 contact.close contact.down contact.far contact.up
1 2 35400487 35401074 0 0 3 8
1 3 35400487 35401151 0 0 6 0
1 4 35400487 35401284 0 8 7 0
1 5 35400487 35401587 1 1 2 4
1 6 35400487 35401827 3 0 2 2
1 7 35400487 35401996 0 0 0 3
1 8 35400487 35402131 0 5 9 0
1 9 35400487 35403593 3 0 0 4
1 10 35400487 35403612 0 2 5 0
1 11 35400487 35403877 1 1 1 1
1 13 35400487 35404473 2 0 0 3
1 14 35400487 35404810 1 0 0 0
1 15 35400487 35404908 0 1 0 1
1 16 35400487 35405125 0 2 1 0
1 17 35400487 35405916 1 0 0 0
1 20 35400487 35406742 2 1 2 0
1 21 35400487 35407160 0 1 1 1
1 22 35400487 35407389 0 0 1 0
1 23 35400487 35407657 1 0 1 0
1 24 35400487 35407884 1 3 1 1
1 25 35400487 35408171 2 1 0 2
1 27 35400487 35408540 1 0 1 2
1 28 35400487 35408878 0 0 2 0
1 29 35400487 35409052 0 1 2 0
1 30 35400487 35409307 0 0 0 1
1 31 35400487 35409577 0 2 3 0
1 32 35400487 35410097 0 2 0 0
1 33 35400487 35410826 3 0 0 3
1 34 35400487 35411203 1 1 0 0
1 36 35400487 35411912 0 0 0 1
1 37 35400487 35412152 0 0 0 3
1 38 35400487 35412325 0 2 0 0
1 39 35400487 35412758 0 0 1 1
1 41 35400487 35414982 4 0 0 0
1 42 35400487 35415206 1 0 0 1
1 44 35400487 35415329 0 0 2 1
1 45 35400487 35415462 0 0 2 2
1 47 35400487 35415767 0 0 0 1
1 48 35400487 35415906 0 0 4 0
1 49 35400487 35417127 0 0 1 3
1 50 35400487 35417381 0 1 1 0
1 51 35400487 35418194 0 0 0 1
1 54 35400487 35418412 1 0 0 1
1 56 35400487 35418794 0 0 2 0
1 58 35400487 35419313 2 0 0 1
1 59 35400487 35419559 2 0 0 0
1 62 35400487 35420297 0 0 1 0
1 63 35400487 35420878 1 0 0 1
1 67 35400487 35421025 0 1 0 0
1 68 35400487 35421753 2 0 0 1
1 69 35400487 35421905 1 0 0 1
1 75 35400487 35422610 0 0 0 1
1 77 35400487 35423250 0 0 1 1
1 78 35400487 35423676 0 0 0 1
1 81 35400487 35424141 0 2 0 0
1 86 35400487 35424868 1 0 2 0
1 87 35400487 35425088 0 1 1 0
1 88 35400487 35425814 0 0 1 2
1 89 35400487 35427021 1 0 0 0
1 90 35400487 35427776 0 0 0 2
1 91 35400487 35427950 0 0 1 1
1 92 35400487 35428892 0 1 0 0
1 93 35400487 35429821 3 1 0 3
1 96 35400487 35430156 0 1 0 0
1 97 35400487 35430727 1 0 0 1
1 99 35400487 35431761 0 0 0 2
1 104 35400487 35432504 0 0 2 1
1 105 35400487 35433313 0 0 0 4
1 106 35400487 35433780 0 1 0 0
1 107 35400487 35434822 0 0 0 2
1 110 35400487 35435414 0 2 4 0
1 115 35400487 35436099 1 0 0 0
1 116 35400487 35436488 1 0 0 0
1 117 35400487 35436939 0 0 0 1
1 118 35400487 35437432 0 1 1 0
1 120 35400487 35438983 1 0 1 1
1 121 35400487 35439115 0 0 1 0
1 123 35400487 35439474 0 0 2 0
1 124 35400487 35440503 0 0 0 1
1 125 35400487 35440763 1 0 0 0
1 131 35400487 35442053 0 1 0 1
1 132 35400487 35442064 1 0 0 0
1 133 35400487 35442312 0 0 2 0
1 134 35400487 35442487 0 1 0 0
1 137 35400487 35443769 0 0 2 0
1 139 35400487 35445646 0 0 0 4
1 140 35400487 35445685 0 0 5 0
1 141 35400487 35446641 0 0 0 1
1 143 35400487 35447039 0 1 1 0
1 144 35400487 35447440 1 0 0 1
1 145 35400487 35447699 1 0 0 1
1 146 35400487 35448425 0 0 5 0
1 147 35400487 35449042 0 0 0 1
1 148 35400487 35449741 2 0 0 1
1 150 35400487 35449909 0 0 0 1
1 152 35400487 35450326 1 2 1 0
1 154 35400487 35451174 0 0 0 1
1 156 35400487 35452143 0 1 0 0
1 157 35400487 35452294 0 0 1 0
1 160 35400487 35453751 0 1 0 0
1 162 35400487 35455240 0 0 0 1
1 166 35400487 35456413 1 4 1 0
1 167 35400487 35456755 0 0 0 2
1 169 35400487 35457023 0 1 0 2
1 170 35400487 35457140 0 0 0 1
1 171 35400487 35457398 0 0 0 1
1 172 35400487 35457589 1 0 0 0
1 173 35400487 35457666 0 2 0 0
1 174 35400487 35458640 1 0 0 1
1 177 35400487 35459090 3 0 2 2
1 178 35400487 35459520 2 2 0 0
1 179 35400487 35460055 0 0 0 2
1 180 35400487 35460365 0 1 0 1
1 181 35400487 35460462 0 0 2 0
1 182 35400487 35460630 0 0 1 0
1 183 35400487 35461736 0 0 0 2
1 185 35400487 35462402 3 0 1 0
1 187 35400487 35463250 0 0 1 0
1 190 35400487 35463810 0 0 1 0
1 191 35400487 35463979 0 0 2 1
1 192 35400487 35464609 2 0 0 0
1 193 35400487 35464796 0 0 1 0
1 194 35400487 35465211 0 0 0 3
1 195 35400487 35465871 1 0 0 2
1 196 35400487 35465990 0 1 0 0
1 198 35400487 35466163 0 1 1 0
1 199 35400487 35466317 0 1 0 1
1 200 35400487 35466356 1 0 0 0
1 203 35400487 35466957 0 1 0 0
1 204 35400487 35467121 0 0 0 1
1 205 35400487 35467296 0 0 0 1
1 208 35400487 35467846 0 0 1 0
1 209 35400487 35468138 0 0 1 2
1 211 35400487 35468391 0 1 1 0
1 212 35400487 35468543 0 1 0 1
1 214 35400487 35468980 0 1 0 0
1 215 35400487 35469320 0 2 1 0
1 216 35400487 35470065 1 0 0 0
