id2 id1 category N dangling.L.1 dangling.R.1 rejoined.1 dangling.L.2 dangling.R.2 rejoined.2 proximity1 pos1 proximity2 pos2 is.close distance
206 205 contact.down 50 2369 880 268 265 666 127 1000 734600 1000 740685 FALSE 6085
206 205 contact.far 38 2369 880 268 265 666 127 1000 734600 1000 740685 FALSE 6085
206 205 contact.up 48 2369 880 268 265 666 127 1000 734600 1000 740685 FALSE 6085
207 205 contact.close 36 2369 880 268 425 2326 114 1000 734600 1000 747137 FALSE 12537
207 205 contact.down 29 2369 880 268 425 2326 114 1000 734600 1000 747137 FALSE 12537
207 205 contact.far 22 2369 880 268 425 2326 114 1000 734600 1000 747137 FALSE 12537
207 205 contact.up 35 2369 880 268 425 2326 114 1000 734600 1000 747137 FALSE 12537
208 205 contact.close 38 2369 880 268 2094 1229 187 1000 734600 1000 749621 FALSE 15021
208 205 contact.down 52 2369 880 268 2094 1229 187 1000 734600 1000 749621 FALSE 15021
208 205 contact.far 27 2369 880 268 2094 1229 187 1000 734600 1000 749621 FALSE 15021
208 205 contact.up 34 2369 880 268 2094 1229 187 1000 734600 1000 749621 FALSE 15021
209 205 contact.close 29 2369 880 268 816 624 111 1000 734600 1000 753938 FALSE 19338
209 205 contact.down 43 2369 880 268 816 624 111 1000 734600 1000 753938 FALSE 19338
209 205 contact.far 26 2369 880 268 816 624 111 1000 734600 1000 753938 FALSE 19338
209 205 contact.up 12 2369 880 268 816 624 111 1000 734600 1000 753938 FALSE 19338
210 205 contact.close 30 2369 880 268 1204 701 172 1000 734600 1000 756070 FALSE 21470
210 205 contact.down 44 2369 880 268 1204 701 172 1000 734600 1000 756070 FALSE 21470
210 205 contact.far 30 2369 880 268 1204 701 172 1000 734600 1000 756070 FALSE 21470
210 205 contact.up 18 2369 880 268 1204 701 172 1000 734600 1000 756070 FALSE 21470
211 205 contact.close 24 2369 880 268 1214 690 68 1000 734600 1000 764373 FALSE 29773
211 205 contact.down 17 2369 880 268 1214 690 68 1000 734600 1000 764373 FALSE 29773
211 205 contact.far 11 2369 880 268 1214 690 68 1000 734600 1000 764373 FALSE 29773
211 205 contact.up 19 2369 880 268 1214 690 68 1000 734600 1000 764373 FALSE 29773
212 205 contact.close 21 2369 880 268 484 1404 86 1000 734600 1000 767108 FALSE 32508
212 205 contact.down 31 2369 880 268 484 1404 86 1000 734600 1000 767108 FALSE 32508
212 205 contact.far 13 2369 880 268 484 1404 86 1000 734600 1000 767108 FALSE 32508
212 205 contact.up 16 2369 880 268 484 1404 86 1000 734600 1000 767108 FALSE 32508
213 205 contact.close 15 2369 880 268 1678 741 109 1000 734600 1000 775730 FALSE 41130
213 205 contact.down 19 2369 880 268 1678 741 109 1000 734600 1000 775730 FALSE 41130
213 205 contact.far 8 2369 880 268 1678 741 109 1000 734600 1000 775730 FALSE 41130
213 205 contact.up 12 2369 880 268 1678 741 109 1000 734600 1000 775730 FALSE 41130
214 205 contact.close 18 2369 880 268 846 1029 127 1000 734600 1000 777422 FALSE 42822
214 205 contact.down 21 2369 880 268 846 1029 127 1000 734600 1000 777422 FALSE 42822
214 205 contact.far 16 2369 880 268 846 1029 127 1000 734600 1000 777422 FALSE 42822
214 205 contact.up 19 2369 880 268 846 1029 127 1000 734600 1000 777422 FALSE 42822
215 205 contact.close 29 2369 880 268 3479 1277 429 1000 734600 1000 779088 FALSE 44488
215 205 contact.down 11 2369 880 268 3479 1277 429 1000 734600 1000 779088 FALSE 44488
215 205 contact.far 13 2369 880 268 3479 1277 429 1000 734600 1000 779088 FALSE 44488
215 205 contact.up 24 2369 880 268 3479 1277 429 1000 734600 1000 779088 FALSE 44488
216 205 contact.close 12 2369 880 268 1178 1563 80 1000 734600 1000 780557 FALSE 45957
216 205 contact.down 13 2369 880 268 1178 1563 80 1000 734600 1000 780557 FALSE 45957
216 205 contact.far 9 2369 880 268 1178 1563 80 1000 734600 1000 780557 FALSE 45957
216 205 contact.up 8 2369 880 268 1178 1563 80 1000 734600 1000 780557 FALSE 45957
207 206 contact.down 23 265 666 127 425 2326 114 1000 740685 1000 747137 FALSE 6452
207 206 contact.far 28 265 666 127 425 2326 114 1000 740685 1000 747137 FALSE 6452
207 206 contact.up 45 265 666 127 425 2326 114 1000 740685 1000 747137 FALSE 6452
208 206 contact.close 14 265 666 127 2094 1229 187 1000 740685 1000 749621 FALSE 8936
208 206 contact.down 39 265 666 127 2094 1229 187 1000 740685 1000 749621 FALSE 8936
208 206 contact.far 31 265 666 127 2094 1229 187 1000 740685 1000 749621 FALSE 8936
208 206 contact.up 32 265 666 127 2094 1229 187 1000 740685 1000 749621 FALSE 8936
209 206 contact.close 27 265 666 127 816 624 111 1000 740685 1000 753938 FALSE 13253
209 206 contact.down 23 265 666 127 816 624 111 1000 740685 1000 753938 FALSE 13253
209 206 contact.far 30 265 666 127 816 624 111 1000 740685 1000 753938 FALSE 13253
209 206 contact.up 16 265 666 127 816 624 111 1000 740685 1000 753938 FALSE 13253
210 206 contact.close 22 265 666 127 1204 701 172 1000 740685 1000 756070 FALSE 15385
210 206 contact.down 21 265 666 127 1204 701 172 1000 740685 1000 756070 FALSE 15385
210 206 contact.far 21 265 666 127 1204 701 172 1000 740685 1000 756070 FALSE 15385
210 206 contact.up 17 265 666 127 1204 701 172 1000 740685 1000 756070 FALSE 15385
211 206 contact.close 15 265 666 127 1214 690 68 1000 740685 1000 764373 FALSE 23688
211 206 contact.down 17 265 666 127 1214 690 68 1000 740685 1000 764373 FALSE 23688
211 206 contact.far 15 265 666 127 1214 690 68 1000 740685 1000 764373 FALSE 23688
211 206 contact.up 14 265 666 127 1214 690 68 1000 740685 1000 764373 FALSE 23688
212 206 contact.close 16 265 666 127 484 1404 86 1000 740685 1000 767108 FALSE 26423
212 206 contact.down 12 265 666 127 484 1404 86 1000 740685 1000 767108 FALSE 26423
212 206 contact.far 6 265 666 127 484 1404 86 1000 740685 1000 767108 FALSE 26423
212 206 contact.up 18 265 666 127 484 1404 86 1000 740685 1000 767108 FALSE 26423
213 206 contact.close 9 265 666 127 1678 741 109 1000 740685 1000 775730 FALSE 35045
213 206 contact.down 15 265 666 127 1678 741 109 1000 740685 1000 775730 FALSE 35045
213 206 contact.far 19 265 666 127 1678 741 109 1000 740685 1000 775730 FALSE 35045
213 206 contact.up 9 265 666 127 1678 741 109 1000 740685 1000 775730 FALSE 35045
214 206 contact.close 14 265 666 127 846 1029 127 1000 740685 1000 777422 FALSE 36737
214 206 contact.down 17 265 666 127 846 1029 127 1000 740685 1000 777422 FALSE 36737
214 206 contact.far 15 265 666 127 846 1029 127 1000 740685 1000 777422 FALSE 36737
214 206 contact.up 9 265 666 127 846 1029 127 1000 740685 1000 777422 FALSE 36737
215 206 contact.close 21 265 666 127 3479 1277 429 1000 740685 1000 779088 FALSE 38403
215 206 contact.down 14 265 666 127 3479 1277 429 1000 740685 1000 779088 FALSE 38403
215 206 contact.far 15 265 666 127 3479 1277 429 1000 740685 1000 779088 FALSE 38403
215 206 contact.up 17 265 666 127 3479 1277 429 1000 740685 1000 779088 FALSE 38403
216 206 contact.close 6 265 666 127 1178 1563 80 1000 740685 1000 780557 FALSE 39872
216 206 contact.down 8 265 666 127 1178 1563 80 1000 740685 1000 780557 FALSE 39872
216 206 contact.far 6 265 666 127 1178 1563 80 1000 740685 1000 780557 FALSE 39872
216 206 contact.up 4 265 666 127 1178 1563 80 1000 740685 1000 780557 FALSE 39872
208 207 contact.down 44 425 2326 114 2094 1229 187 1000 747137 1000 749621 FALSE 2484
208 207 contact.far 51 425 2326 114 2094 1229 187 1000 747137 1000 749621 FALSE 2484
208 207 contact.up 55 425 2326 114 2094 1229 187 1000 747137 1000 749621 FALSE 2484
209 207 contact.close 25 425 2326 114 816 624 111 1000 747137 1000 753938 FALSE 6801
209 207 contact.down 29 425 2326 114 816 624 111 1000 747137 1000 753938 FALSE 6801
209 207 contact.far 35 425 2326 114 816 624 111 1000 747137 1000 753938 FALSE 6801
209 207 contact.up 36 425 2326 114 816 624 111 1000 747137 1000 753938 FALSE 6801
210 207 contact.close 18 425 2326 114 1204 701 172 1000 747137 1000 756070 FALSE 8933
210 207 contact.down 29 425 2326 114 1204 701 172 1000 747137 1000 756070 FALSE 8933
210 207 contact.far 28 425 2326 114 1204 701 172 1000 747137 1000 756070 FALSE 8933
210 207 contact.up 23 425 2326 114 1204 701 172 1000 747137 1000 756070 FALSE 8933
211 207 contact.close 11 425 2326 114 1214 690 68 1000 747137 1000 764373 FALSE 17236
211 207 contact.down 14 425 2326 114 1214 690 68 1000 747137 1000 764373 FALSE 17236
211 207 contact.far 15 425 2326 114 1214 690 68 1000 747137 1000 764373 FALSE 17236
211 207 contact.up 11 425 2326 114 1214 690 68 1000 747137 1000 764373 FALSE 17236
212 207 contact.close 9 425 2326 114 484 1404 86 1000 747137 1000 767108 FALSE 19971
212 207 contact.down 6 425 2326 114 484 1404 86 1000 747137 1000 767108 FALSE 19971
212 207 contact.far 14 425 2326 114 484 1404 86 1000 747137 1000 767108 FALSE 19971
212 207 contact.up 12 425 2326 114 484 1404 86 1000 747137 1000 767108 FALSE 19971
213 207 contact.close 12 425 2326 114 1678 741 109 1000 747137 1000 775730 FALSE 28593
213 207 contact.down 20 425 2326 114 1678 741 109 1000 747137 1000 775730 FALSE 28593
